"","Rk","Tm.x","W","L","WL","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","vEast","vCent","vWest","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","≥.500","<.500","last10","last20","last30","Year.x","tYear","Tm.y","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Chall","Succ","Succ%","Managers","Year.y"
"143",23,"Cincinnati Reds",67,95,0.414,NA,4.3,5.1,-0.8,0.2,-0.6,"69-93",-2,"13-21","26-50","18-14","10-10","37-44","30-51","7-12","10-29","45-69","22-26","44-71","23-24",NA,NA,NA,2018,"Cincinnati Reds2018","Cincinnati Reds",1629356,20116,27.2,27.1,102,103,0,3,10,"$94,587,500",03:03:00,38,14,"36%","Price and Riggleman",2018
"144",24,"Texas Rangers",67,95,0.414,NA,4.5,5.2,-0.7,0.1,-0.6,"71-91",-4,"12-21","18-15","28-48","9-11","34-47","33-48","7-7","12-19","45-60","22-35","33-61","34-34",NA,NA,NA,2018,"Texas Rangers2018","Texas Rangers",2107107,26014,27.4,30.4,110,111,1,1,11,"$106,099,628",03:04:00,42,17,"40%","Banister and Wakamatsu",2018
"145",25,"San Diego Padres",66,96,0.407,NA,3.8,4.7,-0.9,0.3,-0.7,"65-97",1,"15-17","16-18","28-48","7-13","31-50","35-46","5-11","22-21","47-59","19-37","42-66","24-30",NA,NA,NA,2018,"San Diego Padres2018","San Diego Padres",2168536,26772,26.9,27.7,93,95,0,1,6,"$93,821,067",03:00:00,44,19,"43%","Green",2018
"146",26,"Detroit Tigers",64,98,0.395,NA,3.9,4.9,-1,-0.2,-1.2,"64-98",0,"15-17","33-43","10-24","6-14","38-43","26-55","5-5","22-30","45-74","19-24","21-53","43-45",NA,NA,NA,2018,"Detroit Tigers2018","Detroit Tigers",1856970,22926,27.9,28.6,103,105,0,1,10,"$111,531,000",03:00:00,32,19,"59%","Gardenhire",2018
"147",27,"Miami Marlins",63,98,0.391,NA,3.7,5,-1.4,0.2,-1.2,"58-103",5,"26-50","13-19","15-18","9-11","38-43","25-55","9-6","19-21","51-72","12-26","34-62","29-36",NA,NA,NA,2018,"Miami Marlins2018","Miami Marlins",811104,10014,27.5,27.6,94,95,0,1,6,"$86,515,143",03:02:00,41,22,"53%","Mattingly",2018
"148",28,"Chicago White Sox",62,100,0.383,NA,4,5.2,-1.2,-0.2,-1.4,"62-100",0,"16-16","30-46","10-24","6-14","30-51","32-49","5-5","15-25","47-75","15-25","24-51","38-49",NA,NA,NA,2018,"Chicago White Sox2018","Chicago White Sox",1608817,19862,26.5,27.6,98,99,0,1,9,"$75,092,000",03:08:00,40,20,"50%","Renteria",2018
"149",29,"Kansas City Royals",58,104,0.358,NA,3.9,5.1,-1.2,-0.2,-1.4,"62-100",-4,"9-24","36-40","7-26","6-14","32-49","26-55","5-8","19-30","39-74","19-30","18-56","40-48",NA,NA,NA,2018,"Kansas City Royals2018","Kansas City Royals",1665107,20557,28.6,27.6,100,101,0,1,8,"$95,199,167",02:57:00,41,31,"75%","Yost",2018
"150",30,"Baltimore Orioles",47,115,0.29,NA,3.8,5.5,-1.7,0.1,-1.5,"55-107",-8,"23-53","10-23","7-26","7-13","28-53","19-62","4-9","12-29","26-82","21-33","26-67","21-48",NA,NA,NA,2018,"Baltimore Orioles2018","Baltimore Orioles",1564192,19311,28.4,27.1,98,100,0,1,15,"$141,555,833",03:01:00,27,15,"55%","Showalter",2018
"151",1,"Los Angeles Dodgers",104,58,0.642,NA,4.8,3.6,1.2,-0.2,0.9,"102-60",2,"24-10","23-9","41-35","16-4","57-24","47-34","8-4","25-19","71-43","33-15","36-33","68-25",NA,NA,NA,2017,"Los Angeles Dodgers2017","Los Angeles Dodgers",3765856,46492,27.9,29.7,96,95,0,6,20,"$201,466,263",03:11:00,36,23,"63%","Roberts",2017
"152",2,"Cleveland Indians",102,60,0.63,NA,5,3.5,1.6,-0.1,1.5,"108-54",-6,"22-12","50-26","24-8","6-14","49-32","53-28","4-2","20-15","66-36","36-24","27-22","75-38",NA,NA,NA,2017,"Cleveland Indians2017","Cleveland Indians",2048138,25286,28.1,28.9,106,104,0,5,13,"$114,427,167",03:06:00,32,15,"46%","Francona",2017
"153",3,"Houston Astros",101,61,0.623,NA,5.5,4.3,1.2,0,1.2,"99-63",2,"21-13","15-17","50-26","15-5","48-33","53-28","4-4","19-13","80-37","21-24","18-15","83-46",NA,NA,NA,2017,"Houston Astros2017","Houston Astros",2403671,29675,28.8,28.5,94,93,0,6,16,"$157,656,400",03:10:00,39,18,"46%","Hinch",2017
"154",4,"Washington Nationals",97,65,0.599,NA,5.1,4.1,0.9,-0.3,0.6,"96-66",1,"47-29","19-15","21-11","10-10","47-34","50-31","7-4","30-21","75-50","22-15","23-19","74-46",NA,NA,NA,2017,"Washington Nationals2017","Washington Nationals",2524980,31173,29.2,30.1,104,103,0,5,15,"$175,587,301",03:09:00,32,12,"37%","Baker",2017
"155",5,"Boston Red Sox",93,69,0.574,NA,4.8,4.1,0.7,0.1,0.8,"93-69",0,"41-35","20-14","16-16","16-4","48-33","45-36","15-3","22-19","75-50","18-19","27-23","66-46",NA,NA,NA,2017,"Boston Red Sox2017","Boston Red Sox",2917678,36021,27.3,28.4,105,104,0,3,18,"$200,550,750",03:20:00,43,16,"37%","Farrell",2017
"156",6,"Arizona Diamondbacks",93,69,0.574,NA,5,4.1,0.9,-0.2,0.8,"96-66",-3,"19-14","17-16","45-31","12-8","52-29","41-40","9-3","29-23","68-52","25-17","39-35","54-34",NA,NA,NA,2017,"Arizona Diamondbacks2017","Arizona Diamondbacks",2134375,26350,28.3,28.7,108,108,0,4,11,"$106,580,200",03:09:00,32,16,"50%","Lovullo",2017
"157",7,"Chicago Cubs",92,70,0.568,NA,5.1,4.3,0.8,-0.2,0.6,"93-69",-1,"21-13","46-30","13-19","12-8","48-33","44-37","7-3","26-17","71-56","21-14","35-35","57-35",NA,NA,NA,2017,"Chicago Cubs2017","Chicago Cubs",3199562,39501,27.1,30.8,103,101,0,1,18,"$177,210,667",03:09:00,53,28,"52%","Maddon",2017
"158",8,"New York Yankees",91,71,0.562,NA,5.3,4.1,1.2,0.1,1.3,"100-62",-9,"44-32","18-15","14-19","15-5","51-30","40-41","5-6","18-26","67-48","24-23","26-22","65-49",NA,NA,NA,2017,"New York Yankees2017","New York Yankees",3154938,38950,28.6,27.8,104,103,0,5,17,"$182,424,700",03:16:00,40,30,"75%","Girardi",2017
"159",9,"Colorado Rockies",87,75,0.537,NA,5.1,4.7,0.4,-0.1,0.3,"87-75",0,"17-16","18-15","42-34","10-10","46-35","41-40","2-3","21-14","59-55","28-20","37-35","50-40",NA,NA,NA,2017,"Colorado Rockies2017","Colorado Rockies",2953650,36465,28.3,27,117,116,0,4,12,"$106,650,000",03:11:00,38,16,"42%","Black",2017
"160",10,"Milwaukee Brewers",86,76,0.531,NA,4.5,4.3,0.2,-0.1,0.1,"85-77",1,"18-14","40-36","17-17","11-9","46-38","40-38","5-11","25-22","69-59","17-17","37-38","49-38",NA,NA,NA,2017,"Milwaukee Brewers2017","Milwaukee Brewers",2627705,31282,27.4,28.3,101,101,0,1,10,"$68,439,300",03:10:00,43,17,"39%","Counsell",2017
"161",11,"Minnesota Twins",85,77,0.525,NA,5,4.9,0.2,0.1,0.2,"83-79",2,"15-18","41-35","16-17","13-7","41-40","44-37","3-3","15-18","59-54","26-23","20-31","65-46",NA,NA,NA,2017,"Minnesota Twins2017","Minnesota Twins",2051279,25324,27.1,29.6,100,101,1,3,17,"$103,932,500",03:11:00,28,19,"67%","Molitor",2017
"162",12,"St. Louis Cardinals",83,79,0.512,NA,4.7,4.4,0.3,-0.1,0.2,"87-75",-4,"22-10","34-42","19-15","8-12","44-37","39-42","5-9","24-29","64-63","19-16","27-44","56-35",NA,NA,NA,2017,"St. Louis Cardinals2017","St. Louis Cardinals",3448337,42572,28,28.3,98,97,0,2,15,"$129,652,933",03:04:00,50,26,"52%","Matheny",2017
"163",13,"Los Angeles Angels",80,82,0.494,NA,4.4,4.4,0,0.1,0.1,"81-81",-1,"19-13","11-23","39-37","11-9","43-38","37-44","8-7","27-22","56-58","24-24","21-31","59-51",NA,NA,NA,2017,"Los Angeles Angels2017","Los Angeles Angels",3019585,37279,29.9,29.1,97,97,0,1,8,"$181,125,500",03:11:00,39,21,"53%","Scioscia",2017
"164",14,"Kansas City Royals",80,82,0.494,NA,4.3,4.9,-0.5,0.2,-0.4,"72-90",8,"17-15","35-41","19-15","9-11","43-38","37-44","4-7","25-16","62-59","18-23","29-42","51-40",NA,NA,NA,2017,"Kansas City Royals2017","Kansas City Royals",2220370,27412,28.9,30.3,101,102,0,3,18,"$127,555,817",03:02:00,34,24,"70%","Yost",2017
"165",15,"Tampa Bay Rays",80,82,0.494,NA,4.3,4.3,-0.1,0.2,0.1,"80-82",0,"35-41","18-15","16-17","11-9","42-39","38-43","8-6","21-24","61-53","19-29","31-37","49-45",NA,NA,NA,2017,"Tampa Bay Rays2017","Tampa Bay Rays",1253619,15477,28.3,27.6,96,96,0,2,13,"$79,473,033",03:13:00,59,29,"49%","Cash",2017
"166",16,"Texas Rangers",78,84,0.481,NA,4.9,5,-0.1,0.1,0,"79-83",-1,"12-20","18-16","34-42","14-6","41-40","37-44","5-5","13-24","56-66","22-18","18-30","60-54",NA,NA,NA,2017,"Texas Rangers2017","Texas Rangers",2507760,30960,28.4,28.8,110,110,1,1,13,"$207,326,274",03:13:00,62,33,"53%","Banister",2017
"167",17,"Seattle Mariners",78,84,0.481,NA,4.6,4.8,-0.1,0.1,0,"79-83",-1,"13-19","18-16","35-41","12-8","40-41","38-43","7-5","26-15","56-61","22-23","20-32","58-52",NA,NA,NA,2017,"Seattle Mariners2017","Seattle Mariners",2135445,26364,29.6,27.9,95,95,0,2,13,"$172,438,700",03:06:00,34,17,"50%","Servais",2017
"168",18,"Miami Marlins",77,85,0.475,NA,4.8,5.1,-0.3,-0.2,-0.5,"77-85",0,"34-42","15-19","19-13","9-11","42-36","35-49","6-5","18-22","64-64","13-21","22-40","55-45",NA,NA,NA,2017,"Miami Marlins2017","Miami Marlins",1583014,20295,28.3,28.7,90,91,0,2,10,"$111,591,100",03:06:00,35,18,"51%","Mattingly",2017
"169",19,"Toronto Blue Jays",76,86,0.469,NA,4.3,4.8,-0.6,0.3,-0.3,"72-90",4,"33-43","13-18","21-14","9-11","42-39","34-47","5-14","26-27","58-62","18-24","27-41","49-45",NA,NA,NA,2017,"Toronto Blue Jays2017","Toronto Blue Jays",3203886,39554,31,28.8,101,102,0,2,15,"$158,890,575",03:09:00,45,12,"26%","Gibbons",2017
"170",20,"Pittsburgh Pirates",75,87,0.463,NA,4.1,4.5,-0.4,-0.1,-0.4,"74-88",1,"21-13","33-43","11-21","10-10","44-37","31-50","8-9","20-24","58-63","17-24","40-50","35-37",NA,NA,NA,2017,"Pittsburgh Pirates2017","Pittsburgh Pirates",1919447,23697,28.2,27.1,97,98,0,1,10,"$102,953,333",03:07:00,49,31,"63%","Hurdle",2017
"171",21,"Baltimore Orioles",75,87,0.463,NA,4.6,5.2,-0.6,0.3,-0.3,"72-90",3,"37-39","13-21","17-15","8-12","46-35","29-52","12-4","21-20","49-63","26-24","25-46","50-41",NA,NA,NA,2017,"Baltimore Orioles2017","Baltimore Orioles",2028424,25042,28.6,28.2,97,99,0,1,16,"$161,621,633",03:09:00,26,17,"65%","Showalter",2017
"172",22,"Oakland Athletics",75,87,0.463,NA,4.6,5.1,-0.5,0.2,-0.4,"73-89",2,"16-19","20-11","32-44","7-13","46-35","29-52","4-9","21-21","56-61","19-26","24-25","51-62",NA,NA,NA,2017,"Oakland Athletics2017","Oakland Athletics",1475721,18219,28.7,27.9,95,95,0,1,13,"$51,560,000",03:09:00,32,16,"50%","Melvin",2017
"173",23,"Atlanta Braves",72,90,0.444,NA,4.5,5.1,-0.5,-0.2,-0.7,"73-89",-1,"33-43","11-21","19-15","9-11","37-44","35-46","6-8","19-24","57-75","15-15","25-37","47-53",NA,NA,NA,2017,"Atlanta Braves2017","Atlanta Braves",2505252,30929,28.6,29.4,100,100,0,1,14,"$119,705,250",03:04:00,47,19,"40%","Snitker",2017
"174",24,"San Diego Padres",71,91,0.438,NA,3.7,5,-1.3,0,-1.3,"59-103",12,"14-19","16-17","33-43","8-12","43-38","28-53","4-7","19-19","52-64","19-27","35-56","36-35",NA,NA,NA,2017,"San Diego Padres2017","San Diego Padres",2138491,26401,26.2,27.7,95,97,0,1,7,"$49,248,767",03:00:00,42,17,"40%","Green",2017
"175",25,"New York Mets",70,92,0.432,NA,4.5,5.3,-0.8,-0.1,-0.9,"69-93",1,"37-39","14-19","12-21","7-13","37-44","33-48","3-8","21-24","55-69","15-23","17-49","53-43",NA,NA,NA,2017,"New York Mets2017","New York Mets",2460622,30378,28.9,27.5,94,95,0,1,13,"$176,615,252",03:09:00,39,23,"58%","Collins",2017
"176",26,"Cincinnati Reds",68,94,0.42,NA,4.6,5.4,-0.7,0,-0.7,"70-92",-2,"13-20","37-39","13-20","5-15","39-42","29-52","3-7","13-22","59-65","9-29","34-60","34-34",NA,NA,NA,2017,"Cincinnati Reds2017","Cincinnati Reds",1836917,22678,27.2,27.6,101,103,0,2,10,"$79,315,786",03:03:00,38,19,"50%","Price",2017
"177",27,"Chicago White Sox",67,95,0.414,NA,4.4,5.1,-0.7,0.2,-0.5,"70-92",-3,"13-20","33-43","15-18","6-14","39-42","28-53","5-5","21-23","47-69","20-26","23-49","44-46",NA,NA,NA,2017,"Chicago White Sox2017","Chicago White Sox",1629470,20117,26.7,28.7,97,98,0,1,13,"$97,842,000",03:10:00,35,17,"48%","Renteria",2017
"178",28,"Philadelphia Phillies",66,96,0.407,NA,4.3,4.8,-0.6,-0.1,-0.7,"72-90",-6,"39-37","11-21","11-23","5-15","39-42","27-54","7-10","21-36","42-75","24-21","23-43","43-53",NA,NA,NA,2017,"Philadelphia Phillies2017","Philadelphia Phillies",1905354,23523,26.6,26.8,98,99,0,1,7,"$86,276,000",03:08:00,29,17,"58%","Mackanin",2017
"179",29,"San Francisco Giants",64,98,0.395,NA,3.9,4.8,-0.8,0,-0.9,"67-95",-3,"9-23","18-16","29-47","8-12","38-43","26-55","12-7","23-24","46-68","18-30","36-54","28-44",NA,NA,NA,2017,"San Francisco Giants2017","San Francisco Giants",3303652,40786,29.5,28.9,98,98,0,1,14,"$177,399,833",03:04:00,31,19,"61%","Bochy",2017
"180",30,"Detroit Tigers",64,98,0.395,NA,4.5,5.5,-1,0.2,-0.8,"67-95",-3,"16-17","31-45","9-24","8-12","34-47","30-51","1-4","17-23","43-76","21-22","28-40","36-58",NA,NA,NA,2017,"Detroit Tigers2017","Detroit Tigers",2321599,28662,29.6,28.3,101,102,0,2,16,"$118,375,600",03:14:00,37,16,"43%","Ausmus",2017
"181",1,"Chicago Cubs",103,58,0.64,NA,5,3.4,1.6,-0.2,1.3,"107-54",-4,"19-14","50-25","19-14","15-5","57-24","46-34","9-4","22-23","75-41","28-17","31-25","72-33",NA,NA,NA,2016,"Chicago Cubs2016","Chicago Cubs",3232420,39906,27.4,29.9,101,100,0,7,19,"$176,097,333",03:05:00,42,21,"50%","Maddon",2016
"182",2,"Washington Nationals",95,67,0.586,NA,4.7,3.8,0.9,-0.3,0.6,"97-65",-2,"51-25","17-16","15-18","12-8","50-31","45-36","5-8","26-19","75-53","20-14","31-29","64-38",NA,NA,NA,2016,"Washington Nationals2016","Washington Nationals",2481938,30641,28.8,29.1,103,102,0,5,15,"$152,967,400",03:08:00,47,19,"40%","Baker",2016
"183",3,"Texas Rangers",95,67,0.586,NA,4.7,4.7,0,0.1,0.2,"82-80",13,"16-17","19-14","47-29","13-7","53-28","42-39","6-6","36-11","73-48","22-19","60-31","35-36",NA,NA,NA,2016,"Texas Rangers2016","Texas Rangers",2710402,33462,28.4,28.8,107,108,1,2,14,"$212,117,760",03:00:00,51,23,"45%","Banister",2016
"184",4,"Cleveland Indians",94,67,0.584,NA,4.8,4.2,0.6,0,0.6,"91-70",3,"14-18","49-26","18-16","13-7","53-28","41-39","6-6","28-21","63-47","31-20","48-43","46-24",NA,NA,NA,2016,"Cleveland Indians2016","Cleveland Indians",1591667,19650,29,28.1,109,107,0,3,13,"$94,511,067",03:03:00,49,28,"57%","Francona",2016
"185",5,"Boston Red Sox",93,69,0.574,NA,5.4,4.3,1.1,0.1,1.3,"98-64",-5,"43-33","15-18","21-12","14-6","47-34","46-35","7-4","20-24","73-52","20-17","55-48","38-21",NA,NA,NA,2016,"Boston Red Sox2016","Boston Red Sox",2955434,36487,28.5,29,106,106,1,6,18,"$218,682,750",03:12:00,46,20,"43%","Farrell",2016
"186",6,"Los Angeles Dodgers",91,71,0.562,NA,4.5,3.9,0.5,-0.2,0.4,"90-72",1,"19-13","19-15","43-33","10-10","53-28","38-43","6-8","22-20","69-47","22-24","31-26","60-45",NA,NA,NA,2016,"Los Angeles Dodgers2016","Los Angeles Dodgers",3703312,45720,28.9,28.9,97,96,0,3,18,"$231,342,096",03:10:00,35,19,"54%","Roberts",2016
"187",7,"Baltimore Orioles",89,73,0.549,NA,4.6,4.4,0.2,0.3,0.4,"84-78",5,"40-36","23-9","12-22","14-6","50-31","39-42","6-2","21-16","66-50","23-23","53-54","36-19",NA,NA,NA,2016,"Baltimore Orioles2016","Baltimore Orioles",2172344,26819,28.5,27.9,102,102,0,5,17,"$153,744,833",03:00:00,39,20,"51%","Showalter",2016
"188",8,"Toronto Blue Jays",89,73,0.549,NA,4.7,4.1,0.6,0.2,0.8,"91-71",-2,"40-36","18-15","18-15","13-7","46-35","43-38","4-9","21-25","65-53","24-20","58-45","31-28",NA,NA,NA,2016,"Toronto Blue Jays2016","Toronto Blue Jays",3392099,41878,30.1,29.8,102,101,0,5,17,"$182,690,767",03:00:00,49,19,"38%","Gibbons",2016
"189",9,"San Francisco Giants",87,75,0.537,NA,4.4,3.9,0.5,-0.2,0.3,"90-72",-3,"17-16","17-16","45-31","8-12","45-36","42-39","11-7","28-27","57-53","30-22","27-33","60-42",NA,NA,NA,2016,"San Francisco Giants2016","San Francisco Giants",3365256,41546,29.1,30,96,96,0,4,15,"$177,021,333",03:10:00,49,31,"63%","Bochy",2016
"190",10,"New York Mets",87,75,0.537,NA,4.1,3.8,0.3,-0.3,0.1,"87-75",0,"40-36","22-10","13-21","12-8","44-37","43-38","8-5","25-22","68-57","19-18","30-30","57-45",NA,NA,NA,2016,"New York Mets2016","New York Mets",2789602,34440,29.5,28.4,96,96,0,4,13,"$155,221,282",03:05:00,28,18,"64%","Collins",2016
"191",11,"Detroit Tigers",86,75,0.534,NA,4.7,4.5,0.2,0,0.2,"83-78",3,"19-15","38-37","16-16","13-7","45-35","41-40","5-4","26-17","62-53","24-22","37-52","49-23",NA,NA,NA,2016,"Detroit Tigers2016","Detroit Tigers",2493859,31173,30,29,100,101,0,1,15,"$199,902,000",03:05:00,34,19,"55%","Ausmus",2016
"192",12,"Seattle Mariners",86,76,0.531,NA,4.7,4.4,0.4,0.1,0.5,"87-75",-1,"19-13","16-18","38-38","13-7","44-37","42-39","9-8","30-30","62-42","24-34","44-47","42-29",NA,NA,NA,2016,"Seattle Mariners2016","Seattle Mariners",2267928,27999,30.5,28.8,96,96,0,1,12,"$137,169,100",03:02:00,37,22,"59%","Servais",2016
"193",13,"St. Louis Cardinals",86,76,0.531,NA,4.8,4.4,0.4,-0.1,0.3,"88-74",-2,"17-16","42-34","19-14","8-12","38-43","48-33","4-3","24-23","66-52","20-24","24-35","62-41",NA,NA,NA,2016,"St. Louis Cardinals2016","St. Louis Cardinals",3444490,42525,28.5,28,98,97,0,2,13,"$150,353,500",03:01:00,54,28,"51%","Matheny",2016
"194",14,"Houston Astros",84,78,0.519,NA,4.5,4.3,0.1,0.1,0.3,"83-79",1,"15-18","17-16","41-35","11-9","43-38","41-40","10-8","28-25","57-52","27-26","39-53","45-25",NA,NA,NA,2016,"Houston Astros2016","Houston Astros",2306623,28477,26.4,28.9,94,93,0,2,13,"$89,498,000",03:04:00,37,16,"43%","Hinch",2016
"195",15,"New York Yankees",84,78,0.519,NA,4.2,4.3,-0.1,0.3,0.1,"79-83",5,"35-41","21-12","20-13","8-12","48-33","36-45","4-3","24-12","59-52","25-26","52-54","32-24",NA,NA,NA,2016,"New York Yankees2016","New York Yankees",3063405,37820,30.1,27.9,103,102,0,3,20,"$193,229,350",03:03:00,28,18,"64%","Girardi",2016
"196",16,"Kansas City Royals",81,81,0.5,NA,4.2,4.4,-0.2,0.1,-0.2,"77-85",4,"15-17","46-30","10-24","10-10","47-34","34-47","7-3","23-25","60-59","21-22","40-55","41-26",NA,NA,NA,2016,"Kansas City Royals2016","Kansas City Royals",2557712,31577,28.5,29.9,102,102,0,4,14,"$125,132,675",02:59:00,37,25,"67%","Yost",2016
"197",17,"Miami Marlins",79,82,0.491,NA,4.1,4.2,-0.2,-0.2,-0.4,"78-83",1,"32-43","21-13","20-12","6-14","40-40","39-42","4-7","22-24","57-70","22-12","32-43","47-39",NA,NA,NA,2016,"Miami Marlins2016","Miami Marlins",1712417,21405,28.3,28,93,94,0,4,11,"$72,472,000",03:05:00,53,34,"64%","Mattingly",2016
"198",18,"Pittsburgh Pirates",78,83,0.484,NA,4.5,4.7,-0.2,-0.1,-0.2,"78-83",0,"14-19","33-42","22-11","9-11","38-42","40-41","8-5","20-21","58-74","20-9","32-45","46-38",NA,NA,NA,2016,"Pittsburgh Pirates2016","Pittsburgh Pirates",2249201,27768,28.9,28.6,99,99,0,2,16,"$81,187,933",03:11:00,55,25,"45%","Hurdle",2016
"199",19,"Chicago White Sox",78,84,0.481,NA,4.2,4.4,-0.2,0.1,-0.1,"78-84",0,"19-14","32-44","18-15","9-11","45-36","33-48","8-7","23-29","58-66","20-18","51-61","27-23",NA,NA,NA,2016,"Chicago White Sox2016","Chicago White Sox",1746293,21559,28.3,28.6,96,96,0,2,16,"$113,416,000",03:03:00,39,20,"51%","Ventura",2016
"200",20,"Colorado Rockies",75,87,0.463,NA,5.2,5.3,-0.1,-0.1,-0.2,"80-82",-5,"20-14","11-21","35-41","9-11","42-39","33-48","3-6","12-20","56-58","19-29","40-40","35-47",NA,NA,NA,2016,"Colorado Rockies2016","Colorado Rockies",2602524,32130,27.8,27.7,116,116,0,2,9,"$89,707,000",03:11:00,54,32,"59%","Weiss",2016
"201",21,"Los Angeles Angels",74,88,0.457,NA,4.4,4.5,-0.1,0.2,0.1,"80-82",-6,"13-21","17-15","35-41","9-11","40-41","34-47","0-4","17-20","53-66","21-22","46-68","28-20",NA,NA,NA,2016,"Los Angeles Angels2016","Los Angeles Angels",3016142,37236,28.5,28.4,95,95,0,1,9,"$139,712,000",03:04:00,38,21,"55%","Scioscia",2016
"202",22,"Milwaukee Brewers",73,89,0.451,NA,4.1,4.5,-0.4,-0.1,-0.5,"74-88",-1,"16-17","31-45","15-18","11-9","41-40","32-49","4-9","23-28","43-70","30-19","27-46","46-43",NA,NA,NA,2016,"Milwaukee Brewers2016","Milwaukee Brewers",2314614,28575,27.5,28.1,102,102,0,1,9,"$52,077,500",03:08:00,47,22,"46%","Counsell",2016
"203",23,"Philadelphia Phillies",71,91,0.438,NA,3.8,4.9,-1.1,-0.1,-1.3,"62-100",9,"30-46","12-21","18-15","11-9","37-44","34-47","7-6","28-23","54-74","17-17","27-49","44-42",NA,NA,NA,2016,"Philadelphia Phillies2016","Philadelphia Phillies",1915144,23644,26.9,26.3,99,100,0,1,6,"$84,846,666",03:03:00,46,26,"56%","Mackanin",2016
"204",24,"Arizona Diamondbacks",69,93,0.426,NA,4.6,5.5,-0.9,0,-0.9,"69-93",0,"18-15","13-20","33-43","5-15","33-48","36-45","8-8","22-17","46-71","23-22","30-52","39-41",NA,NA,NA,2016,"Arizona Diamondbacks2016","Arizona Diamondbacks",2036216,25138,26.7,26.4,107,107,0,1,12,"$78,399,500",03:14:00,37,22,"59%","Hale",2016
"205",25,"Oakland Athletics",69,93,0.426,NA,4,4.7,-0.7,0.2,-0.5,"70-92",-1,"16-17","17-16","29-47","7-13","34-47","35-46","6-5","25-28","53-67","16-26","49-64","20-29",NA,NA,NA,2016,"Oakland Athletics2016","Oakland Athletics",1521506,18784,28.7,27.9,96,97,0,1,12,"$54,969,067",02:56:00,34,22,"64%","Melvin",2016
"206",26,"Atlanta Braves",68,93,0.422,NA,4,4.8,-0.8,-0.1,-0.9,"67-94",1,"36-39","13-20","11-22","8-12","31-50","37-43","11-11","21-22","52-62","16-31","27-49","41-44",NA,NA,NA,2016,"Atlanta Braves2016","Atlanta Braves",2020914,24950,28.9,26.4,98,99,0,1,13,"$74,999,750",03:08:00,42,18,"42%","González and Snitker",2016
"207",27,"San Diego Padres",68,94,0.42,NA,4.2,4.8,-0.5,-0.1,-0.6,"72-90",-4,"14-19","14-19","34-42","6-14","39-42","29-52","6-6","19-31","47-72","21-22","32-50","36-44",NA,NA,NA,2016,"San Diego Padres2016","San Diego Padres",2351422,29030,28.1,28.1,95,95,0,2,11,"$50,656,166",03:06:00,57,27,"47%","Green",2016
"208",28,"Tampa Bay Rays",68,94,0.42,NA,4.1,4.4,-0.3,0.3,0,"77-85",-9,"32-44","11-23","15-17","10-10","36-45","32-49","4-3","13-27","50-68","18-26","47-74","21-20",NA,NA,NA,2016,"Tampa Bay Rays2016","Tampa Bay Rays",1286163,15879,27.7,26.9,95,95,0,1,10,"$48,223,791",03:01:00,49,29,"59%","Cash",2016
"209",29,"Cincinnati Reds",68,94,0.42,NA,4.4,5.3,-0.9,0,-0.8,"68-94",0,"14-19","33-43","16-17","5-15","38-43","30-51","3-10","22-27","54-74","14-20","24-54","44-40",NA,NA,NA,2016,"Cincinnati Reds2016","Cincinnati Reds",1894085,23384,27.8,27.1,101,102,0,2,10,"$77,329,561",03:04:00,51,25,"49%","Price",2016
"210",30,"Minnesota Twins",59,103,0.364,NA,4.5,5.5,-1,0.1,-0.9,"66-96",-7,"10-24","24-52","17-15","8-12","30-51","29-52","6-10","15-29","38-78","21-25","35-75","24-28",NA,NA,NA,2016,"Minnesota Twins2016","Minnesota Twins",1963912,24246,26.9,28.3,100,100,1,1,17,"$93,333,700",03:05:00,28,17,"60%","Molitor",2016
"211",1,"St. Louis Cardinals",100,62,0.617,NA,4,3.2,0.8,-0.3,0.5,"96-66",4,"20-12","46-30","23-11","11-9","55-26","45-36","8-8","32-23","75-44","25-18","46-31","54-31",NA,NA,NA,2015,"St. Louis Cardinals2015","St. Louis Cardinals",3520889,43468,28.4,28.2,101,100,0,6,14,"$128,241,500",02:59:00,31,16,"51%","Matheny",2015
"212",2,"Pittsburgh Pirates",98,64,0.605,NA,4.3,3.7,0.6,-0.3,0.3,"93-69",5,"24-9","34-42","27-6","13-7","53-28","45-36","12-9","36-17","78-48","20-16","42-32","56-32",NA,NA,NA,2015,"Pittsburgh Pirates2015","Pittsburgh Pirates",2498596,30847,28.2,29.6,99,99,0,4,15,"$104,457,499",03:06:00,44,25,"56%","Hurdle",2015
"213",3,"Chicago Cubs",97,65,0.599,NA,4.3,3.8,0.5,-0.3,0.2,"90-72",7,"22-12","46-30","19-13","10-10","49-32","48-33","13-5","34-21","77-51","20-14","44-32","53-33",NA,NA,NA,2015,"Chicago Cubs2015","Chicago Cubs",2919122,36039,26.9,29.3,98,97,0,2,18,"$115,306,610",03:02:00,48,28,"58%","Maddon",2015
